X1,Thai_name,Thai_script,English_name,Image,Region,Description,Description2,major_grouping,minor_grouping
0,Jok,โจ๊ก,Rice,,,"['Of Chinese origin, it is a rice congee with minced chicken or pork. Mixing an egg in with the congee is optional.\n']","Of Chinese origin, it is a rice congee with minced chicken or pork. Mixing an egg in with the congee is optional.",Individual dishes,Rice dishes
1,Khao kan chin,ข้าวกั๊นจิ๊น,,,North,"['A dish of the Tai Yai (', 'Shan people', ') of ', 'Myanmar', ' and northern Thailand, it is rice that is mixed with pork blood and steamed inside a banana leaf. ', 'Khao kan chin', ' is served with cucumber, onions and fried, dried chili peppers.\n']","A dish of the Tai Yai ( Shan people ) of  Myanmar  and northern Thailand, it is rice that is mixed with pork blood and steamed inside a banana leaf.  Khao kan chin  is served with cucumber, onions and fried, dried chili peppers.",Individual dishes,Rice dishes
2,Khao kha mu,ข้าวขาหมู,Braised pork leg on rice,,,"['Steamed rice', ' is served with sliced ', ""pig's trotters"", ', which has been simmered in ', 'soy sauce', ' and ', 'five spice powder', '. It is always served with a sweet spicy dipping sauce, fresh ', ""bird's eye chili"", ' peppers and cloves of garlic on the side. Boiled egg and a clear broth on the side are optional.\n']","Steamed rice  is served with sliced  pig's trotters , which has been simmered in  soy sauce  and  five spice powder . It is always served with a sweet spicy dipping sauce, fresh  bird's eye chili  peppers and cloves of garlic on the side. Boiled egg and a clear broth on the side are optional.",Individual dishes,Rice dishes
3,Khao khai chiao,ข้าวไข่เจียว,Omelette on rice,,,"['A quick snack or breakfast, it is an omelette with white rice, often eaten with chili sauce and cucumber. The variant shown in the image is ', 'khao khai chiao songkhrueang', ' (', 'Thai', ': ', 'ข้าวไข่เจียวทรงเครื่อง', ') where the omelette is topped with a minced pork and vegetable stir-fry.\n']","A quick snack or breakfast, it is an omelette with white rice, often eaten with chili sauce and cucumber. The variant shown in the image is  khao khai chiao songkhrueang  ( Thai :  ข้าวไข่เจียวทรงเครื่อง ) where the omelette is topped with a minced pork and vegetable stir-fry.",Individual dishes,Rice dishes
4,Khao khluk kapi,ข้าวคลุกกะปิ,Fried rice with shrimp paste,,,"['Rice is fried with ', 'shrimp paste', ' and served with sweet pork, sour mango, fried shrimp, chili peppers, and shallots.\n']","Rice is fried with  shrimp paste  and served with sweet pork, sour mango, fried shrimp, chili peppers, and shallots.",Individual dishes,Rice dishes
5,Khao mok gai,ข้าวหมกไก่,Thai,,,"['The Thai version of a ""chicken biryani"". The name literally means ""rice covered chicken"" and this ', 'Thai-Muslim', ' dish is made by cooking rice together with the chicken curry.\n']","The Thai version of a ""chicken biryani"". The name literally means ""rice covered chicken"" and this  Thai-Muslim  dish is made by cooking rice together with the chicken curry.",Individual dishes,Rice dishes
6,Khao mok nuea,ข้าวหมกเนื้อ,Thai beef biryani,,,"['The Thai version of a ""beef biryani"".\n']","The Thai version of a ""beef biryani"".",Individual dishes,Rice dishes
7,Khao man gai,ข้าวมันไก่,Chicken rice,,,"['Rice steamed with garlic served with sliced chicken, chicken broth, and a spicy dipping sauce. This is a Thai version of a dish called Wenchang chicken (文昌雞) from ', 'Hainan', ' in southern China.\n']","Rice steamed with garlic served with sliced chicken, chicken broth, and a spicy dipping sauce. This is a Thai version of a dish called Wenchang chicken (文昌雞) from  Hainan  in southern China.",Individual dishes,Rice dishes
8,Khao mu krop,ข้าวหมูกรอบ,Crispy pork on rice,,,"['Rice and crispy pork that is often, as here in this image, served with boiled egg and a bowl of broth. The sauce that always comes with ', 'khao mu krop', ' is here served separately in the bowl at the top of the image.\n']","Rice and crispy pork that is often, as here in this image, served with boiled egg and a bowl of broth. The sauce that always comes with  khao mu krop  is here served separately in the bowl at the top of the image.",Individual dishes,Rice dishes
9,Khao mu krop mu aeng,ข้าวหมูกรอบหมูแดง,Mixed cispy pork and red roast pork on rice,,,"['Slices of ', 'mu krop', ' (crispy pork) and ', 'mu daeng', ' (', 'red roast pork', ') served on rice, and often covered with a sticky soy and/or oyster-sauce based sauce. Very often, a clear soup, boiled egg, cucumber, and spring onion is served on the side. Sliced chili peppers in Chinese black vinegar and dark soy sauce are provided as a condiment for this dish.\n']","Slices of  mu krop  (crispy pork) and  mu daeng  ( red roast pork ) served on rice, and often covered with a sticky soy and/or oyster-sauce based sauce. Very often, a clear soup, boiled egg, cucumber, and spring onion is served on the side. Sliced chili peppers in Chinese black vinegar and dark soy sauce are provided as a condiment for this dish.",Individual dishes,Rice dishes
10,Khao na pet,ข้าวหน้าเป็ด,Red roast duck on rice,,,['Boiled rice with roast duck and duck broth on the side. It is served with sliced chili peppers in soy sauce as a condiment.\n'],Boiled rice with roast duck and duck broth on the side. It is served with sliced chili peppers in soy sauce as a condiment.,Individual dishes,Rice dishes
11,Khao niao,ข้าวเหนียว,Glutinous,,,['Khao niao is traditionally eaten using only the right hand. It is the staple food of Northern and Northeastern Thais.\n'],Khao niao is traditionally eaten using only the right hand. It is the staple food of Northern and Northeastern Thais.,Individual dishes,Rice dishes
12,Khao nuea op,ข้าวเนื้ออบ,,,,"['Rice with slices of baked beef, served with a spicy chili dip.\n']","Rice with slices of baked beef, served with a spicy chili dip.",Individual dishes,Rice dishes
13,Khao phat,ข้าวผัด,Thai fried rice,,,"['Fried rice in Thailand can be made with different ingredients. Customarily served with fresh lime, cucumber, spring onions, and ', 'nam pla phrik', ' (chili peppers in fish sauce).\n']","Fried rice in Thailand can be made with different ingredients. Customarily served with fresh lime, cucumber, spring onions, and  nam pla phrik  (chili peppers in fish sauce).",Individual dishes,Rice dishes
14,Khao phat amerikan,ข้าวผัดอเมริกัน,American fried rice,,,"['American fried rice', ' is rice fried with onion, tomato, raisins, and flavored with ketchup. It is often garnished with some sausage, fried chicken, and egg.\n']","American fried rice  is rice fried with onion, tomato, raisins, and flavored with ketchup. It is often garnished with some sausage, fried chicken, and egg.",Individual dishes,Rice dishes
15,Khao phat kaeng khiao wan,ข้าวผัดแกงเขียวหวาน,,,,['Rice fried with green curry.\n'],Rice fried with green curry.,Individual dishes,Rice dishes
16,Khao phat kaphrao mu,ข้าวผัดกะเพราหมู,Basil fried rice with pork,,,"['Rice fried with a certain variety of Thai basil called ', 'kaphrao', ' (', 'Ocimum tenuiflorum', '), sliced pork, and chili peppers.\n']","Rice fried with a certain variety of Thai basil called  kaphrao  ( Ocimum tenuiflorum ), sliced pork, and chili peppers.",Individual dishes,Rice dishes
17,Khao phat namliap,ข้าวผัดหนำเลี้ยบ,,,,"['Rice fried with ', 'nam liap', ', the fruit of the ', 'Canarium album', ', also known as ""Chinese olives"".\n']","Rice fried with  nam liap , the fruit of the  Canarium album , also known as ""Chinese olives"".",Individual dishes,Rice dishes
18,Khao phat nam phrik long ruea,ข้าวผัดน้ำพริกลงเรือ,,,Central,"['Rice fried with ', 'Nam phrik long ruea', ' (lit. ""boat journey chili paste"") and pieces of ', 'khai khem', "" (salted duck's eggs). Fried, sliced, sweet Chinese sausage called "", 'kun chiang', ' (', 'Thai', ': ', 'กุนเชียง', ') are also served here with some sliced cucumber on the side.\n']","Rice fried with  Nam phrik long ruea  (lit. ""boat journey chili paste"") and pieces of  khai khem  (salted duck's eggs). Fried, sliced, sweet Chinese sausage called  kun chiang  ( Thai :  กุนเชียง ) are also served here with some sliced cucumber on the side.",Individual dishes,Rice dishes
19,Khao phat nam phrik narok,ข้าวผัดน้ำพริกนรก,,,,"['The name literally means ""rice fried with chili paste from hell"". The rice is fried with ', 'nam phrik narok', ', a very spicy chili paste made with fried catfish, grilled onion and garlic, grilled (dried) chili peppers, sugar, fish sauce, and shrimp paste. Here it is served with ', 'mu yang', ' (grilled pork) and ', 'nam chim chaeo', ', a spicy dipping sauce.\n']","The name literally means ""rice fried with chili paste from hell"". The rice is fried with  nam phrik narok , a very spicy chili paste made with fried catfish, grilled onion and garlic, grilled (dried) chili peppers, sugar, fish sauce, and shrimp paste. Here it is served with  mu yang  (grilled pork) and  nam chim chaeo , a spicy dipping sauce.",Individual dishes,Rice dishes
20,Khao tom,ข้าวต้ม,Thai rice soup,,,"['Boiled rice in a light broth, usually with minced pork, chicken, or fish. It is often eaten for breakfast.\n']","Boiled rice in a light broth, usually with minced pork, chicken, or fish. It is often eaten for breakfast.",Individual dishes,Rice dishes
21,Khao tom kui,ข้าวต้มกุ๊ย,Plain rice,,,['Plain rice is cooked to a porridge and eaten as the staple together with a variety of side dishes.\n'],Plain rice is cooked to a porridge and eaten as the staple together with a variety of side dishes.,Individual dishes,Rice dishes
0,Bami haeng pet,บะหมี่แห้งเป็ด,"Egg noodles served ""dry"" with duck",,,"['Egg noodles served ""dry"" with slices of braised duck, and often, as shown on the image, together with ""blood tofu"". The broth is served on the side. It is originally a Chinese dish.\n']","Egg noodles served ""dry"" with slices of braised duck, and often, as shown on the image, together with ""blood tofu"". The broth is served on the side. It is originally a Chinese dish.",Individual dishes,Noodle dishes
